epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,222.559,1.74309,1.3316,0.29741,1.52886,1.3958,0.79928,0.66379,0.71481,0.26422,0.96,0.79995,0.94118,0.65009,1.98084,1.04017,0.1382,1.64826,1.80977,0.00134,0.00134,0.00134
52,226.807,1.76352,1.39453,0.28153,1.61112,1.43824,0.59861,0.5,0.51723,0.19785,0.65589,0.63333,0.74489,0.52863,2.01836,1.1653,0.16752,1.73952,1.79981,0.0013268,0.0013268,0.0013268
53,231.028,1.72726,1.38295,0.27379,1.64302,1.42848,0.8055,0.55258,0.62784,0.21118,0.90698,0.65044,0.78947,0.58492,1.91279,1.03959,0.14934,1.67188,1.76404,0.0013136,0.0013136,0.0013136
54,235.273,1.71992,1.29653,0.24326,1.53325,1.40384,0.92904,0.56667,0.68821,0.28303,0.92904,0.56667,0.79124,0.58048,1.97045,1.20698,0.18066,1.61416,1.8089,0.0013004,0.0013004,0.0013004
55,239.545,1.70021,1.33715,0.26991,1.53128,1.37266,0.89625,0.57623,0.71892,0.26905,0.79646,0.73333,0.88991,0.62876,1.96834,1.0591,0.12021,1.42939,1.74904,0.0012872,0.0012872,0.0012872
56,243.839,1.78253,1.40144,0.26466,1.62094,1.44358,0.79606,0.6509,0.72152,0.2848,0.94001,0.73333,0.88356,0.56698,2.00167,1.31121,0.09834,1.55535,1.74313,0.001274,0.001274,0.001274
57,248.123,1.78153,1.34447,0.25419,1.53703,1.40138,0.85624,0.6,0.73754,0.31963,0.79311,0.8,0.86719,0.69324,1.76715,0.77463,0.08637,1.55697,1.57993,0.0012608,0.0012608,0.0012608
58,252.52,1.63261,1.1788,0.26302,1.50436,1.38802,0.68663,0.56667,0.69256,0.30054,0.84068,0.73333,0.87696,0.63079,1.79524,0.85279,0.09239,1.47431,1.62594,0.0012476,0.0012476,0.0012476
59,256.841,1.73039,1.28281,0.28929,1.46984,1.35823,0.6208,0.83333,0.76828,0.30473,0.84002,0.70008,0.88423,0.6686,1.96259,0.82133,0.10667,1.28263,1.71574,0.0012344,0.0012344,0.0012344
60,261.184,1.62468,1.12459,0.24217,1.38381,1.35803,0.79552,0.73333,0.74686,0.33974,0.90734,0.83333,0.89521,0.70485,1.90357,0.90309,0.11129,1.27704,1.72423,0.0012212,0.0012212,0.0012212
61,265.558,1.58302,1.04014,0.25277,1.4071,1.30785,0.58574,0.70712,0.6943,0.28287,0.66947,0.81038,0.861,0.65103,1.81432,0.90752,0.11952,1.61877,1.67069,0.001208,0.001208,0.001208
62,269.873,1.73203,1.0763,0.21338,1.482,1.33798,0.73422,0.73333,0.78197,0.34736,0.83058,0.86667,0.92356,0.7045,1.78407,0.80916,0.10523,1.42955,1.63668,0.0011948,0.0011948,0.0011948
63,274.327,1.67153,1.12195,0.2429,1.46979,1.33169,0.85367,0.58381,0.73161,0.31018,0.87767,0.71782,0.8331,0.6671,1.86077,0.79273,0.12782,1.4386,1.66861,0.0011816,0.0011816,0.0011816
64,278.645,1.52444,1.00348,0.21529,1.32039,1.27816,0.74604,0.63333,0.72736,0.3131,0.88375,0.76043,0.87715,0.6753,1.82664,0.84893,0.11598,1.49415,1.71977,0.0011684,0.0011684,0.0011684
65,282.909,1.61996,1.09475,0.23329,1.41682,1.31363,0.84275,0.56667,0.71409,0.33758,0.76125,0.74421,0.84584,0.66401,1.81044,0.95861,0.12,1.41613,1.72928,0.0011552,0.0011552,0.0011552
66,287.233,1.66647,1.06017,0.25498,1.45542,1.36792,0.64985,0.63333,0.6766,0.37221,0.76653,0.76667,0.82112,0.65916,1.6554,1.04338,0.12711,1.56147,1.58224,0.001142,0.001142,0.001142
67,291.561,1.62272,1.11035,0.21669,1.40215,1.32225,0.6134,0.74059,0.7001,0.30053,0.8208,0.76348,0.81336,0.65199,1.76913,1.0168,0.11799,1.63636,1.67017,0.0011288,0.0011288,0.0011288
68,295.903,1.57504,1.08326,0.25429,1.43356,1.3216,0.75955,0.7372,0.75291,0.31598,0.82791,0.80187,0.86877,0.65682,1.87332,1.00789,0.11074,1.41765,1.68691,0.0011156,0.0011156,0.0011156
69,300.215,1.63956,1.11381,0.2431,1.38783,1.34927,0.78599,0.7,0.74986,0.33917,0.82424,0.73333,0.8147,0.62492,1.88298,1.27618,0.1311,1.46199,1.70699,0.0011024,0.0011024,0.0011024
70,304.549,1.54479,0.98019,0.23921,1.35202,1.34468,0.7976,0.7,0.75939,0.37891,0.74327,0.77216,0.8262,0.67437,1.76902,0.96091,0.11469,1.29231,1.62086,0.0010892,0.0010892,0.0010892
71,308.935,1.58312,0.97317,0.21332,1.34696,1.28988,0.77428,0.66667,0.7305,0.33853,0.88268,0.75272,0.84283,0.66748,1.94923,1.08967,0.11202,1.25441,1.66674,0.001076,0.001076,0.001076
72,313.258,1.58791,1.02281,0.2207,1.32788,1.29766,0.73822,0.73333,0.81724,0.37964,0.84698,0.83333,0.88232,0.71103,1.79175,0.92471,0.14239,1.31967,1.57605,0.0010628,0.0010628,0.0010628
73,317.619,1.55372,0.96073,0.2125,1.32055,1.30656,0.86941,0.66579,0.77273,0.4042,0.86273,0.8,0.89415,0.68652,1.68645,0.91405,0.12462,1.25938,1.49655,0.0010496,0.0010496,0.0010496
74,322.098,1.6249,1.06074,0.23319,1.3758,1.29461,0.85678,0.76667,0.86088,0.39786,0.86975,0.83333,0.94248,0.67729,1.72283,0.89467,0.10248,1.255,1.56781,0.0010364,0.0010364,0.0010364
75,326.433,1.52937,0.96484,0.21381,1.2888,1.28694,0.79286,0.76557,0.82856,0.39562,0.84569,0.91367,0.92772,0.71424,1.73615,0.72422,0.09745,1.13286,1.5779,0.0010232,0.0010232,0.0010232
76,330.844,1.50211,0.96763,0.21534,1.23731,1.25671,0.7624,0.76667,0.84246,0.39577,0.87933,0.9,0.93067,0.7806,1.76014,0.7018,0.09464,1.14562,1.58218,0.00101,0.00101,0.00101
77,335.237,1.53642,0.9934,0.2034,1.25115,1.26683,0.8753,0.70198,0.84529,0.43252,0.91977,0.86667,0.92638,0.7893,1.66926,0.66224,0.08939,1.16963,1.51272,0.0009968,0.0009968,0.0009968
78,339.76,1.48315,1.01967,0.21113,1.27197,1.25788,0.95211,0.66294,0.82624,0.37471,0.88308,0.75555,0.90359,0.78515,1.64263,0.58092,0.09381,1.30933,1.47414,0.0009836,0.0009836,0.0009836
79,344.063,1.54929,1.13789,0.20239,1.32911,1.288,0.95353,0.7,0.84365,0.41568,0.90558,0.73333,0.91731,0.78014,1.71119,0.59106,0.11259,1.19595,1.55379,0.0009704,0.0009704,0.0009704
80,348.396,1.51422,0.98677,0.19644,1.26024,1.27044,0.84352,0.71904,0.85165,0.41101,0.81892,0.83333,0.9353,0.78292,1.71526,0.7298,0.07738,1.14562,1.55228,0.0009572,0.0009572,0.0009572
81,352.674,1.45534,0.92718,0.20841,1.2079,1.24935,0.78817,0.8,0.8626,0.40494,0.88468,0.9,0.95259,0.78227,1.8054,0.61838,0.08421,1.1511,1.5871,0.000944,0.000944,0.000944
82,356.984,1.48228,0.89797,0.19534,1.18273,1.25667,0.75247,0.86667,0.86982,0.3958,0.85063,0.94939,0.96089,0.79377,1.79249,0.58661,0.08892,1.15343,1.52536,0.0009308,0.0009308,0.0009308
83,361.326,1.56328,0.86767,0.19171,1.31216,1.26695,0.78599,0.66667,0.85109,0.39303,0.74923,0.9,0.92061,0.79215,1.71767,0.62264,0.10361,1.23954,1.49686,0.0009176,0.0009176,0.0009176
84,365.663,1.49477,0.88445,0.18226,1.24279,1.23788,0.88751,0.7,0.86324,0.40234,0.83676,0.9,0.94445,0.79773,1.70533,0.67633,0.11461,1.2458,1.58395,0.0009044,0.0009044,0.0009044
85,369.984,1.47217,0.96195,0.2001,1.22257,1.24554,0.85406,0.8,0.85805,0.38843,0.92809,0.86057,0.94054,0.76938,1.68262,0.72615,0.10844,1.23993,1.57624,0.0008912,0.0008912,0.0008912
86,374.304,1.38257,0.86806,0.17515,1.15201,1.23045,0.76324,0.76667,0.77533,0.38162,0.95316,0.93333,0.97956,0.7727,1.66281,0.66497,0.09605,1.32234,1.55978,0.000878,0.000878,0.000878
87,378.652,1.49008,0.9459,0.19335,1.22426,1.25208,0.85471,0.76667,0.87693,0.42786,0.96575,0.93333,0.98955,0.80074,1.75008,0.76401,0.08813,1.21027,1.59928,0.0008648,0.0008648,0.0008648
88,383.1,1.44168,0.83723,0.19688,1.19443,1.24601,0.80097,0.80502,0.82451,0.39173,0.93131,0.90405,0.96963,0.79758,1.76024,0.72752,0.11451,1.20657,1.60998,0.0008516,0.0008516,0.0008516
89,387.469,1.50157,0.93888,0.20116,1.23747,1.24,0.8035,0.83333,0.86726,0.44777,0.96748,0.93333,0.98768,0.78523,1.58431,0.77872,0.09953,1.1303,1.5437,0.0008384,0.0008384,0.0008384
90,391.864,1.4126,0.90789,0.19496,1.18985,1.21101,0.7416,0.86667,0.85215,0.4026,0.9514,0.86667,0.96708,0.78113,1.67779,0.63711,0.09698,1.15197,1.57105,0.0008252,0.0008252,0.0008252
91,396.175,1.38859,0.83529,0.17434,1.14113,1.1983,0.91262,0.86667,0.92585,0.44545,0.96388,0.9,0.98238,0.7834,1.73705,0.72435,0.1015,1.08921,1.6458,0.000812,0.000812,0.000812
92,400.504,1.39006,0.77806,0.19387,1.17741,1.20493,0.85373,0.77852,0.8897,0.40937,0.88994,0.80885,0.94053,0.78161,1.82451,0.62342,0.10606,1.17389,1.68442,0.0007988,0.0007988,0.0007988
93,404.772,1.456,0.7762,0.18229,1.14609,1.18529,0.82243,0.8,0.82483,0.3919,1,0.88873,0.95684,0.80151,1.86075,0.57008,0.11191,1.26164,1.59141,0.0007856,0.0007856,0.0007856
94,409.07,1.43369,0.82319,0.16443,1.1872,1.23352,0.8978,0.8,0.87901,0.41705,0.9352,0.83333,0.96649,0.798,1.6443,0.63261,0.10213,1.1321,1.55644,0.0007724,0.0007724,0.0007724
95,413.386,1.41484,0.79775,0.16731,1.16519,1.20476,0.89732,0.73333,0.81595,0.40983,0.92529,0.83333,0.93614,0.77402,1.63447,0.56252,0.0792,1.23075,1.54073,0.0007592,0.0007592,0.0007592
96,417.694,1.47746,0.8441,0.19615,1.20642,1.24355,0.82283,0.83333,0.83272,0.44456,0.91738,0.93333,0.97921,0.80859,1.52483,0.55678,0.0844,1.17272,1.47716,0.000746,0.000746,0.000746
97,422.075,1.39024,0.71035,0.17129,1.12861,1.19223,0.88753,0.78938,0.87707,0.48018,0.96214,0.8473,0.97786,0.82882,1.4876,0.552,0.08437,1.10004,1.38759,0.0007328,0.0007328,0.0007328
98,426.503,1.39262,0.75226,0.18528,1.12997,1.21546,0.91934,0.66667,0.83819,0.48257,0.86527,0.86667,0.94375,0.82213,1.55216,0.63055,0.09544,1.09539,1.405,0.0007196,0.0007196,0.0007196
99,430.81,1.29796,0.67811,0.16611,1.0386,1.136,0.9176,0.74269,0.86369,0.4472,0.90436,0.86667,0.96322,0.80567,1.58507,0.72714,0.09666,1.17285,1.46455,0.0007064,0.0007064,0.0007064
100,435.263,1.3404,0.75224,0.15811,1.04929,1.15409,0.84469,0.73333,0.83182,0.43473,0.93526,0.8,0.93577,0.76907,1.65217,0.68874,0.08404,1.13247,1.50669,0.0006932,0.0006932,0.0006932
101,439.57,1.32355,0.72354,0.17785,1.0846,1.15593,0.7227,0.69513,0.79778,0.4357,0.96281,0.86308,0.95226,0.81601,1.66045,0.58792,0.06681,1.10464,1.46769,0.00068,0.00068,0.00068
102,443.875,1.30105,0.72484,0.16586,1.0928,1.15554,0.77417,0.83333,0.82026,0.45121,0.86142,0.93333,0.94597,0.81341,1.60648,0.5298,0.06079,1.09704,1.463,0.0006668,0.0006668,0.0006668
103,448.232,1.36024,0.73588,0.15697,1.07279,1.16792,0.73628,0.74476,0.80898,0.41415,0.85903,0.9,0.95558,0.81491,1.6906,0.54977,0.06949,1.11473,1.54078,0.0006536,0.0006536,0.0006536
104,452.557,1.3564,0.72699,0.1988,1.09398,1.20259,0.90272,0.73333,0.85092,0.40561,0.92781,0.85707,0.95853,0.78911,1.72122,0.5896,0.08521,1.09878,1.58562,0.0006404,0.0006404,0.0006404
105,456.828,1.27451,0.65646,0.1491,1.02794,1.11655,0.92732,0.76667,0.85214,0.42763,0.96026,0.80554,0.94459,0.77856,1.68394,0.64017,0.08689,1.10703,1.58275,0.0006272,0.0006272,0.0006272
106,461.148,1.34645,0.7373,0.16152,1.06034,1.17469,0.89478,0.7,0.81751,0.44082,0.98042,0.76667,0.93035,0.77339,1.63956,0.6389,0.09442,1.11363,1.50752,0.000614,0.000614,0.000614
107,465.489,1.30303,0.64842,0.18167,1.03669,1.17162,0.95357,0.68498,0.79903,0.44005,0.86744,0.87269,0.93433,0.80342,1.56907,0.56302,0.11249,1.14837,1.4707,0.0006008,0.0006008,0.0006008
108,469.836,1.31288,0.60657,0.17109,1.05327,1.17615,0.82264,0.8,0.81529,0.4121,0.95657,0.73429,0.90113,0.77993,1.60462,0.56795,0.1078,1.17667,1.49488,0.0005876,0.0005876,0.0005876
109,474.163,1.32926,0.64811,0.15875,1.09454,1.16677,0.78556,0.7,0.78244,0.43553,0.8887,0.76667,0.90162,0.77413,1.6434,0.60139,0.11397,1.2479,1.47051,0.0005744,0.0005744,0.0005744
110,478.511,1.33295,0.71223,0.17617,1.06153,1.149,0.88842,0.79636,0.84966,0.48437,0.86743,0.87261,0.95042,0.80895,1.55944,0.56088,0.08932,1.15723,1.49171,0.0005612,0.0005612,0.0005612
111,482.85,1.3001,0.70328,0.16685,1.09014,1.14602,0.84485,0.76667,0.83672,0.48288,0.96816,0.86667,0.96973,0.80774,1.56655,0.62274,0.0823,1.08264,1.50446,0.000548,0.000548,0.000548
112,487.244,1.26404,0.66996,0.1649,1.02932,1.12645,0.87219,0.8,0.83939,0.45397,0.98183,0.9,0.97236,0.80555,1.66277,0.6587,0.09475,1.11027,1.50201,0.0005348,0.0005348,0.0005348
